ID;DATE;FISCAL YEAR;MONTH;MONTH DESC;MONTHDAY;WEEKDAY;WEEKDAY DESC;DAY DESC;CWEEK;QUARTER;YEAR-QUARTER;HALFYEAR;YEAR-HALFYEAR
135;2015-05-16;2015;5;May;16;6;Weekend;Saturday;19;Q2;2015-Q2;H1;2015-H1
136;2015-05-17;2015;5;May;17;7;Weekend;Sunday;19;Q2;2015-Q2;H1;2015-H1
137;2015-05-18;2015;5;May;18;1;Working Day;Monday;20;Q2;2015-Q2;H1;2015-H1
138;2015-05-19;2015;5;May;19;2;Working Day;Tuesday;20;Q2;2015-Q2;H1;2015-H1
139;2015-05-20;2015;5;May;20;3;Working Day;Wednesday;20;Q2;2015-Q2;H1;2015-H1
140;2015-05-21;2015;5;May;21;4;Working Day;Thursday;20;Q2;2015-Q2;H1;2015-H1
141;2015-05-22;2015;5;May;22;5;Working Day;Friday;20;Q2;2015-Q2;H1;2015-H1
142;2015-05-23;2015;5;May;23;6;Weekend;Saturday;20;Q2;2015-Q2;H1;2015-H1
143;2015-05-24;2015;5;May;24;7;Weekend;Sunday;20;Q2;2015-Q2;H1;2015-H1
144;2015-05-25;2015;5;May;25;1;Working Day;Monday;21;Q2;2015-Q2;H1;2015-H1
145;2015-05-26;2015;5;May;26;2;Working Day;Tuesday;21;Q2;2015-Q2;H1;2015-H1
146;2015-05-27;2015;5;May;27;3;Working Day;Wednesday;21;Q2;2015-Q2;H1;2015-H1
147;2015-05-28;2015;5;May;28;4;Working Day;Thursday;21;Q2;2015-Q2;H1;2015-H1
148;2015-05-29;2015;5;May;29;5;Working Day;Friday;21;Q2;2015-Q2;H1;2015-H1
149;2015-05-30;2015;5;May;30;6;Weekend;Saturday;21;Q2;2015-Q2;H1;2015-H1
150;2015-05-31;2015;5;May;31;7;Weekend;Sunday;21;Q2;2015-Q2;H1;2015-H1
151;2015-06-01;2015;6;June;1;1;Working Day;Monday;22;Q2;2015-Q2;H1;2015-H1
152;2015-06-02;2015;6;June;2;2;Working Day;Tuesday;22;Q2;2015-Q2;H1;2015-H1
153;2015-06-03;2015;6;June;3;3;Working Day;Wednesday;22;Q2;2015-Q2;H1;2015-H1
154;2015-06-04;2015;6;June;4;4;Working Day;Thursday;22;Q2;2015-Q2;H1;2015-H1
155;2015-06-05;2015;6;June;5;5;Working Day;Friday;22;Q2;2015-Q2;H1;2015-H1
156;2015-06-06;2015;6;June;6;6;Weekend;Saturday;22;Q2;2015-Q2;H1;2015-H1
157;2015-06-07;2015;6;June;7;7;Weekend;Sunday;22;Q2;2015-Q2;H1;2015-H1
158;2015-06-08;2015;6;June;8;1;Working Day;Monday;23;Q2;2015-Q2;H1;2015-H1
159;2015-06-09;2015;6;June;9;2;Working Day;Tuesday;23;Q2;2015-Q2;H1;2015-H1
160;2015-06-10;2015;6;June;10;3;Working Day;Wednesday;23;Q2;2015-Q2;H1;2015-H1
161;2015-06-11;2015;6;June;11;4;Working Day;Thursday;23;Q2;2015-Q2;H1;2015-H1
162;2015-06-12;2015;6;June;12;5;Working Day;Friday;23;Q2;2015-Q2;H1;2015-H1
163;2015-06-13;2015;6;June;13;6;Weekend;Saturday;23;Q2;2015-Q2;H1;2015-H1
164;2015-06-14;2015;6;June;14;7;Weekend;Sunday;23;Q2;2015-Q2;H1;2015-H1
165;2015-06-15;2015;6;June;15;1;Working Day;Monday;24;Q2;2015-Q2;H1;2015-H1
166;2015-06-16;2015;6;June;16;2;Working Day;Tuesday;24;Q2;2015-Q2;H1;2015-H1
167;2015-06-17;2015;6;June;17;3;Working Day;Wednesday;24;Q2;2015-Q2;H1;2015-H1
168;2015-06-18;2015;6;June;18;4;Working Day;Thursday;24;Q2;2015-Q2;H1;2015-H1
169;2015-06-19;2015;6;June;19;5;Working Day;Friday;24;Q2;2015-Q2;H1;2015-H1
170;2015-06-20;2015;6;June;20;6;Weekend;Saturday;24;Q2;2015-Q2;H1;2015-H1
171;2015-06-21;2015;6;June;21;7;Weekend;Sunday;24;Q2;2015-Q2;H1;2015-H1
172;2015-06-22;2015;6;June;22;1;Working Day;Monday;25;Q2;2015-Q2;H1;2015-H1
173;2015-06-23;2015;6;June;23;2;Working Day;Tuesday;25;Q2;2015-Q2;H1;2015-H1
174;2015-06-24;2015;6;June;24;3;Working Day;Wednesday;25;Q2;2015-Q2;H1;2015-H1
175;2015-06-25;2015;6;June;25;4;Working Day;Thursday;25;Q2;2015-Q2;H1;2015-H1
176;2015-06-26;2015;6;June;26;5;Working Day;Friday;25;Q2;2015-Q2;H1;2015-H1
177;2015-06-27;2015;6;June;27;6;Weekend;Saturday;25;Q2;2015-Q2;H1;2015-H1
178;2015-06-28;2015;6;June;28;7;Weekend;Sunday;25;Q2;2015-Q2;H1;2015-H1
179;2015-06-29;2015;6;June;29;1;Working Day;Monday;26;Q2;2015-Q2;H1;2015-H1
180;2015-06-30;2015;6;June;30;2;Working Day;Tuesday;26;Q2;2015-Q2;H1;2015-H1
181;2015-07-01;2015;7;July;1;3;Working Day;Wednesday;26;Q3;2015-Q3;H2;2015-H2
182;2015-07-02;2015;7;July;2;4;Working Day;Thursday;26;Q3;2015-Q3;H2;2015-H2
183;2015-07-03;2015;7;July;3;5;Working Day;Friday;26;Q3;2015-Q3;H2;2015-H2
184;2015-07-04;2015;7;July;4;6;Weekend;Saturday;26;Q3;2015-Q3;H2;2015-H2
185;2015-07-05;2015;7;July;5;7;Weekend;Sunday;26;Q3;2015-Q3;H2;2015-H2
186;2015-07-06;2015;7;July;6;1;Working Day;Monday;27;Q3;2015-Q3;H2;2015-H2
187;2015-07-07;2015;7;July;7;2;Working Day;Tuesday;27;Q3;2015-Q3;H2;2015-H2
188;2015-07-08;2015;7;July;8;3;Working Day;Wednesday;27;Q3;2015-Q3;H2;2015-H2
189;2015-07-09;2015;7;July;9;4;Working Day;Thursday;27;Q3;2015-Q3;H2;2015-H2
190;2015-07-10;2015;7;July;10;5;Working Day;Friday;27;Q3;2015-Q3;H2;2015-H2
191;2015-07-11;2015;7;July;11;6;Weekend;Saturday;27;Q3;2015-Q3;H2;2015-H2
192;2015-07-12;2015;7;July;12;7;Weekend;Sunday;27;Q3;2015-Q3;H2;2015-H2
193;2015-07-13;2015;7;July;13;1;Working Day;Monday;28;Q3;2015-Q3;H2;2015-H2
194;2015-07-14;2015;7;July;14;2;Working Day;Tuesday;28;Q3;2015-Q3;H2;2015-H2
195;2015-07-15;2015;7;July;15;3;Working Day;Wednesday;28;Q3;2015-Q3;H2;2015-H2
196;2015-07-16;2015;7;July;16;4;Working Day;Thursday;28;Q3;2015-Q3;H2;2015-H2
197;2015-07-17;2015;7;July;17;5;Working Day;Friday;28;Q3;2015-Q3;H2;2015-H2
198;2015-07-18;2015;7;July;18;6;Weekend;Saturday;28;Q3;2015-Q3;H2;2015-H2
199;2015-07-19;2015;7;July;19;7;Weekend;Sunday;28;Q3;2015-Q3;H2;2015-H2
200;2015-07-20;2015;7;July;20;1;Working Day;Monday;29;Q3;2015-Q3;H2;2015-H2
201;2015-07-21;2015;7;July;21;2;Working Day;Tuesday;29;Q3;2015-Q3;H2;2015-H2
202;2015-07-22;2015;7;July;22;3;Working Day;Wednesday;29;Q3;2015-Q3;H2;2015-H2
203;2015-07-23;2015;7;July;23;4;Working Day;Thursday;29;Q3;2015-Q3;H2;2015-H2
204;2015-07-24;2015;7;July;24;5;Working Day;Friday;29;Q3;2015-Q3;H2;2015-H2
205;2015-07-25;2015;7;July;25;6;Weekend;Saturday;29;Q3;2015-Q3;H2;2015-H2
206;2015-07-26;2015;7;July;26;7;Weekend;Sunday;29;Q3;2015-Q3;H2;2015-H2
207;2015-07-27;2015;7;July;27;1;Working Day;Monday;30;Q3;2015-Q3;H2;2015-H2
208;2015-07-28;2015;7;July;28;2;Working Day;Tuesday;30;Q3;2015-Q3;H2;2015-H2
209;2015-07-29;2015;7;July;29;3;Working Day;Wednesday;30;Q3;2015-Q3;H2;2015-H2
210;2015-07-30;2015;7;July;30;4;Working Day;Thursday;30;Q3;2015-Q3;H2;2015-H2
211;2015-07-31;2015;7;July;31;5;Working Day;Friday;30;Q3;2015-Q3;H2;2015-H2
212;2015-08-01;2015;8;August;1;6;Weekend;Saturday;30;Q3;2015-Q3;H2;2015-H2
213;2015-08-02;2015;8;August;2;7;Weekend;Sunday;30;Q3;2015-Q3;H2;2015-H2
214;2015-08-03;2015;8;August;3;1;Working Day;Monday;31;Q3;2015-Q3;H2;2015-H2
